id	name	element	description	imagepath
1	Eastern Air Temple	AIR	One of the two temples exclusively housing female airbenders.	card/image/land/Eastern Air Temple.png
2	Western Air Temple	AIR	One of the two temples exclusively housing female airbenders.	card/image/land/Western Air Temple.png
3	Southern Air Temple	AIR	One of the two temples exclusively housing male airbenders. Childhood home of Avatar Aang.	card/image/land/Southern Air Temple.png
4	Northern Air Temple	AIR	One of the two temples exclusively housing male airbenders.	card/image/land/Northern Air Temple.png
5	Foggy Swamp	WATER	Place for immigrants of the Southern Water Tribe with an extensive array of fauna and flora.	card/image/land/Foggy Swamp.png
6	Spirit Oasis	WATER	A verdant and lush garden located in a cave in the Northern Water Tribe's capital city at the North Pole.	card/image/land/Spirit Oasis.png
7	Northern Water Tribe	WATER	The largest division of its nation and is located on an island situated near the North Pole.	card/image/land/Northern Water Tribe.png
8	Southern Water Tribe	WATER	Minor division of the Water Tribe. Its people are scattered in tiny villages and settlements located on an island by the South Pole.	card/image/land/Southern Water Tribe.png
9	Si Wong Desert	EARTH	The largest desert in the world.	card/image/land/Si Wong Desert.png
10	Ba Sing Se	EARTH	The monolithic capital of the Earth Kingdom.	card/image/land/Ba Sing Se.png
11	Kyoshi Island	EARTH	"Famous as the birthplace of Avatar Kyoshi and as the home of the elite Kyoshi Warriors."	card/image/land/Kyoshi Island.png
12	Omashu	EARTH	"The second largest city in the Earth Kingdom and the capital of one of its provinces ruled by King Bumi."	card/image/land/Omashu.png
13	Fire Nation Capital	FIRE	The seat of the government for the Fire Nation	card/image/land/Fire Nation Capital.png
14	Boiling Rock	FIRE	A massive Fire Nation prison.	card/image/land/Boiling Rock.png
15	Sun Warriors' Ancient City	FIRE	Large, historic settlement located on an island north of the Fire Nation mainland.	card/image/land/Sun Warriors' Ancient City.png
16	Fire Fountain City	FIRE	A large industrial city located in the Fire Nation.	card/image/land/Fire Fountain City.png
17	Ancient Banyan Tree	ENERGY	A single, enormous tree that stands in the middle of the Foggy Swamp with a root system stretching for many miles.	card/image/land/Ancient Banyan Tree.png
18	Spirit City	ENERGY	The Spirit Wilds that overtook Republic City after the spirit portals were left open following the Harmonic Convergence of 171 AG.	card/image/land/Spirit City.png
19	Wild Oasis	ENERGY	Existing during the era of Raava, this spirit oasis was guarded by the aye-aye spirit.	card/image/land/Wild Oasis.png
20	Spirit Portal	ENERGY	The spirit portal located in the center of the South Pole.	card/image/land/Spirit Portal.png
21	Spirit Wilds	ENERGY	The Spirit Wilds encompassed all uninhabited territories on Earth in the era of Raava.	card/image/land/Spirit Wilds.png
